timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773324346468,932,POST /api/auth/login,200,,50 Concurrent Students 1-15,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,932,0,0
1773324347467,19,GET /api/events?type=gaming,200,,50 Concurrent Students 1-3,text,true,,171678,430,25,25,http://localhost:8080/api/events?typegaming,8,0,0
1773324347751,3,POST /api/students/subscribe,201,,50 Concurrent Students 1-5,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,3,0,0
1773324347901,5,GET /api/events (all),200,,50 Concurrent Students 1-15,text,true,,171678,419,25,25,http://localhost:8080/api/events,4,0,0
1773324347989,2,POST /api/students/subscribe,201,,50 Concurrent Students 1-3,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,2,0,0
1773324348256,4,POST /api/events,201,,50 Concurrent Students 1-5,text,true,,691,634,25,25,http://localhost:8080/api/events,4,0,0
1773324348492,5,POST /api/events,201,,50 Concurrent Students 1-3,text,true,,691,634,25,25,http://localhost:8080/api/events,5,0,0
1773324348761,9,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-5,text,true,,476,481,25,25,http://localhost:8080/api/events/evt-005/register,9,0,0
1773324348998,3,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-3,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-001/register,3,0,0
1773324211953,137901,GET /api/events (all),200,,50 Concurrent Students 1-10,text,true,,169489,419,25,25,http://localhost:8080/api/events,137900,0,0
1773324349271,698,POST /api/auth/login,200,,50 Concurrent Students 1-5,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,698,0,0
1773324349502,746,POST /api/auth/login,200,,50 Concurrent Students 1-3,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,746,0,0
1773324350355,17,GET /api/events?type=gaming,200,,50 Concurrent Students 1-10,text,true,,169489,430,25,25,http://localhost:8080/api/events?typegaming,12,0,3
1773324350470,6,GET /api/events (all),200,,50 Concurrent Students 1-5,text,true,,169489,419,25,25,http://localhost:8080/api/events,4,0,0
1773324350752,24,GET /api/events (all),200,,50 Concurrent Students 1-3,text,true,,169489,419,25,25,http://localhost:8080/api/events,14,0,0
1773324228234,122645,GET /api/events (all),200,,50 Concurrent Students 1-23,text,true,,172005,419,25,25,http://localhost:8080/api/events,122642,0,0
1773324350874,14,POST /api/students/subscribe,201,,50 Concurrent Students 1-10,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,14,0,0
1773324350978,41,GET /api/events?type=gaming,200,,50 Concurrent Students 1-5,text,true,,172005,430,25,25,http://localhost:8080/api/events?typegaming,37,0,0
1773324351279,6,GET /api/events?type=gaming,200,,50 Concurrent Students 1-3,text,true,,172005,430,25,25,http://localhost:8080/api/events?typegaming,4,0,0
1773324351381,7,GET /api/events?type=gaming,200,,50 Concurrent Students 1-23,text,true,,172005,430,25,25,http://localhost:8080/api/events?typegaming,6,0,2
1773324351390,18,POST /api/events,201,,50 Concurrent Students 1-10,text,true,,694,636,25,25,http://localhost:8080/api/events,18,0,0
1773324351520,3,POST /api/students/subscribe,201,,50 Concurrent Students 1-5,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,3,0,0
1773324351785,4,POST /api/students/subscribe,201,,50 Concurrent Students 1-3,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,4,0,0
1773324351888,4,POST /api/students/subscribe,201,,50 Concurrent Students 1-23,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,4,0,0
1773324351908,3,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-10,text,true,,476,481,25,25,http://localhost:8080/api/events/evt-005/register,3,0,0
1773324352025,5,POST /api/events,201,,50 Concurrent Students 1-5,text,true,,691,634,25,25,http://localhost:8080/api/events,5,0,0
